timeID,startYear,endYear,kBP
-59,-6000,-5901,7.9
-60,-6100,-6001,8
-61,-6200,-6101,8.1
-62,-6300,-6201,8.2
-63,-6400,-6301,8.3
-64,-6500,-6401,8.4
-65,-6600,-6501,8.5
-66,-6700,-6601,8.6
-67,-6800,-6701,8.7
-68,-6900,-6801,8.8
-69,-7000,-6901,8.9
-70,-7100,-7001,9
-71,-7200,-7101,9.1
-72,-7300,-7201,9.2
-73,-7400,-7301,9.3
-74,-7500,-7401,9.4
-75,-7600,-7501,9.5
-76,-7700,-7601,9.6
-77,-7800,-7701,9.7
-78,-7900,-7801,9.8
-79,-8000,-7901,9.9
-80,-8100,-8001,10
-81,-8200,-8101,10.1
-82,-8300,-8201,10.2
-83,-8400,-8301,10.3
-84,-8500,-8401,10.4
-85,-8600,-8501,10.5
-86,-8700,-8601,10.6
-87,-8800,-8701,10.7
-88,-8900,-8801,10.8
-89,-9000,-8901,10.9
-90,-9100,-9001,11
-91,-9200,-9101,11.1
-92,-9300,-9201,11.2
-93,-9400,-9301,11.3
-94,-9500,-9401,11.4
-95,-9600,-9501,11.5
-96,-9700,-9601,11.6
-97,-9800,-9701,11.7
-98,-9900,-9801,11.8
-99,-10000,-9901,11.9
-100,-10100,-10001,12
-101,-10200,-10101,12.1
-102,-10300,-10201,12.2
-103,-10400,-10301,12.3
-104,-10500,-10401,12.4
-105,-10600,-10501,12.5
-106,-10700,-10601,12.6
-107,-10800,-10701,12.7
-108,-10900,-10801,12.8
-109,-11000,-10901,12.9
-110,-11100,-11001,13
-111,-11200,-11101,13.1
-112,-11300,-11201,13.2
-113,-11400,-11301,13.3
-114,-11500,-11401,13.4
-115,-11600,-11501,13.5
-116,-11700,-11601,13.6
-117,-11800,-11701,13.7
-118,-11900,-11801,13.8
-119,-12000,-11901,13.9
-120,-12100,-12001,14
-121,-12200,-12101,14.1
-122,-12300,-12201,14.2
-123,-12400,-12301,14.3
-124,-12500,-12401,14.4
-125,-12600,-12501,14.5
-126,-12700,-12601,14.6
-127,-12800,-12701,14.7
-128,-12900,-12801,14.8
-129,-13000,-12901,14.9
-130,-13100,-13001,15
-131,-13200,-13101,15.1
-132,-13300,-13201,15.2
-133,-13400,-13301,15.3
-134,-13500,-13401,15.4
-135,-13600,-13501,15.5
-136,-13700,-13601,15.6
-137,-13800,-13701,15.7
-138,-13900,-13801,15.8
-139,-14000,-13901,15.9
-140,-14100,-14001,16
-141,-14200,-14101,16.1
-142,-14300,-14201,16.2
-143,-14400,-14301,16.3
-144,-14500,-14401,16.4
-145,-14600,-14501,16.5
-146,-14700,-14601,16.6
-147,-14800,-14701,16.7
-148,-14900,-14801,16.8
-149,-15000,-14901,16.9
-150,-15100,-15001,17
-151,-15200,-15101,17.1
-152,-15300,-15201,17.2
-153,-15400,-15301,17.3
-154,-15500,-15401,17.4
-155,-15600,-15501,17.5
-156,-15700,-15601,17.6
-157,-15800,-15701,17.7
-158,-15900,-15801,17.8
-159,-16000,-15901,17.9
-160,-16100,-16001,18
-161,-16200,-16101,18.1
-162,-16300,-16201,18.2
-163,-16400,-16301,18.3
-164,-16500,-16401,18.4
-165,-16600,-16501,18.5
-166,-16700,-16601,18.6
-167,-16800,-16701,18.7
-168,-16900,-16801,18.8
-169,-17000,-16901,18.9
-170,-17100,-17001,19
-171,-17200,-17101,19.1
-172,-17300,-17201,19.2
-173,-17400,-17301,19.3
-174,-17500,-17401,19.4
-175,-17600,-17501,19.5
-176,-17700,-17601,19.6
-177,-17800,-17701,19.7
-178,-17900,-17801,19.8
-179,-18000,-17901,19.9
-180,-18100,-18001,20
-181,-18200,-18101,20.1
-182,-18300,-18201,20.2
-183,-18400,-18301,20.3
-184,-18500,-18401,20.4
-185,-18600,-18501,20.5
-186,-18700,-18601,20.6
-187,-18800,-18701,20.7
-188,-18900,-18801,20.8
-189,-19000,-18901,20.9
-190,-19100,-19001,21
-191,-19200,-19101,21.1
-192,-19300,-19201,21.2
-193,-19400,-19301,21.3
-194,-19500,-19401,21.4
-195,-19600,-19501,21.5
-196,-19700,-19601,21.6
-197,-19800,-19701,21.7
-198,-19900,-19801,21.8
-199,-20000,-19901,21.9
-200,-20100,-20001,22
